"Code","Year","Estimate","Low","High"
"EGY",2005,0,0,0
"COD",2004,468.47676,373.49207,580.66991
"ARG",2021,0,0,0
"BTN",2012,0.15449,0.15449,0.15449
"GNQ",2019,246.37987,157.27444,370.27882
"SLB",2022,210.94852,177.73138,254.41294
"NPL",2023,0.00174,0.00174,0.00174
"GIN",2005,340.02066,227.18386,487.89353
"NGA",2006,398.57422,321.33792,488.26784
"IND",2014,9.03831,6.83494,12.52335
"WPR",2002,3.15978,1.89693,4.7069
"YEM",2012,47.04441,31.47721,71.30473
"DZA",2021,0,0,0
"CAF",2002,438.47585,317.05883,593.38187
"ARG",2022,0,0,0
"GMB",2006,261.64609,194.16924,341.4298
"CIV",2020,278.31281,198.91306,380.06073
"MWI",2010,382.33745,305.90811,470.02885
"MRT",2010,36.231,2.03069,81.54141
"PRK",2016,0.50098,0.50098,0.50098
"GLOBAL",2001,79.76965,74.37298,86.53704
"ECU",2017,0.13424,0.13424,0.13424
"PRY",2001,14.48949,14.48949,14.48949
"VNM",2022,0.00561,0.00561,0.00561
"TGO",2015,353.96724,287.10953,434.36327
"TCD",2004,235.72879,139.10876,375.21377
"GLOBAL",2013,61.05451,56.96512,66.05221
"ZAF",2003,2.77503,2.77503,2.77503
"THA",2002,3.65349,3.65349,3.65349
"VUT",2003,212.64185,137.71096,318.23835
"SLV",2023,0,0,0
"KHM",2023,0.48503,0.41896,0.57047
"IDN",2020,2.79933,2.55995,3.08266
"GEO",2001,10.40479,10.40479,10.40479
"KAZ",2014,0,0,0
"CMR",2013,272.65903,191.76285,376.21414
"TCD",2016,212.89205,129.15269,331.2072
"EUR",2012,0.00094,0.00094,0.00094
"KEN",2020,61.8613,45.18314,82.96898
"NAM",2020,9.32245,7.40041,11.42007
"MWI",2013,288.33247,226.44682,362.36846
"SEAR",2006,15.81056,12.18479,21.35267
"BLZ",2011,0.31882,0.31882,0.31882
"PNG",2003,217.70177,70.20172,399.22348
"GNB",2003,185.20086,100.14761,310.7175
"AGO",2004,313.17928,230.24635,413.79062
"SAU",2021,0,0,0
"GUF",2010,16.11971,13.24559,20.55032
"NGA",2019,292.99995,226.46166,376.22315
"HND",2000,8.64329,6.27946,11.08925
"ZMB",2018,186.47365,131.39134,257.09342
"COG",2000,352.11695,246.18182,489.05266
"SLB",2007,314.02617,224.12426,450.6031
"MYS",2006,5.00986,5.00986,5.00986
"DZA",2013,0.00355,0.00355,0.00355
"MDG",2005,34.59615,1.38473,78.59831
"AGO",2006,300.65027,233.53182,378.90814
"EUR",2011,0.00213,0.00213,0.00213
"PAK",2016,4.70028,3.04044,7.89818
"ERI",2014,35.43874,22.74898,49.24331
"VNM",2013,0.25659,0.25659,0.25659
"AZE",2017,0,0,0
"ZAF",2022,0.32752,0.32752,0.32752
"MMR",2007,30.65204,22.63471,44.00647
"MRT",2000,94.89175,49.69333,166.9346
"NAM",2000,53.56998,21.23768,107.12706
"IND",2007,17.32301,12.74913,24.28148
"SWZ",2021,1.49476,NA,NA
"MOZ",2014,363.16386,297.86458,438.18256
"GNQ",2000,336.74545,225.94817,481.02552
"CMR",2002,432.34042,345.54702,533.35569
"SUR",2015,0.94289,0.94289,0.94289
"VNM",2006,0.37381,0.37381,0.37381
"EMR",2014,8.31755,6.77896,10.49439
"GTM",2003,3.89276,3.43971,4.56908
"AFR",2003,344.0382,317.39742,378.35461
"MEX",2021,0.08943,0.08943,0.08943
"ZMB",2023,176.74219,112.88439,268.82222
"LBR",2023,186.80088,111.83769,291.2658
"MYS",2016,0.20919,0.20919,0.20919
"LBR",2017,379.13607,295.06185,478.09677
"BGD",2003,6.61672,2.87029,10.43429
"NIC",2014,0.27086,0.22497,0.32013
"BDI",2019,293.10196,202.37916,409.5645
"VEN",2006,3.20577,2.8386,3.76873
"ZAF",2005,1.56698,1.56698,1.56698
"COG",2011,216.26414,141.49624,316.67415
"PRY",2004,3.56749,3.56749,3.56749
"ARE",2020,0,0,0
"GTM",2006,3.62786,3.20898,4.24586
"NER",2008,351.76144,244.47177,490.27165
"CAF",2006,449.9551,335.35726,591.2768
"IRN",2002,22.40512,22.40512,22.40512
"GMB",2014,140.31743,109.37569,175.05215
"WPR",2019,2.06803,1.54238,2.64685
"GUF",2004,33.41391,29.54961,39.22891
"SAU",2003,0.85578,0.85578,0.85578
"PAK",2001,6.62772,2.77779,15.24342
"NPL",2007,0.72252,0.72252,0.72252
"SWZ",2006,0.51047,0.51047,0.51047
"PAN",2003,2.21742,2.1346,2.36341
"COG",2016,214.91168,138.69834,317.74681
"UZB",2006,2.73418,2.73418,2.73418
"SSD",2018,278.91963,196.96861,385.30206
"STP",2000,222.02086,222.02086,222.02086
"ARG",2004,0.59769,0.59769,0.59769
"AGO",2008,229.21929,170.94788,300.6621
"STP",2005,112.2192,112.2192,112.2192
"CAF",2022,306.37192,187.77169,471.17548
"MYS",2005,5.38879,5.38879,5.38879
"PRK",2006,0.72105,0.72105,0.72105
"WPR",2006,3.547,2.14849,5.32877
"BWA",2018,0.53074,0.40937,0.73216
"BRA",2007,13.96474,12.50137,15.10812
"LKA",2011,0.02566,0.02566,0.02566
"GNB",2004,122.53161,54.92626,234.09054
"GUF",2012,7.75114,6.90543,8.99397
